user_ID,name,affiliation
INGqUvAAAAAJ,Pimsiri Taylor,"The Language Institute, Thammasat University"
0ixSekYAAAAJ,Panitharn Juntongjin,Thammasat Business School
qk2DoWMAAAAJ,"Teerachai Arunruangsirilert, PhD, CPA, FAC","Assistant Professor of Accounting Department, Thammasat Business School, Thammasat …"
q1CwtV8AAAAJ,Anh Tuan Ta,Thammasat University
7XxhxlsAAAAJ,Euamporn Phijaisanit (เอื้อมพร พิชัยสนิธ),"Professor of Economics, Thammasat University"
N08YncAAAAAJ,Prapimphan Chiengkul,"Assistant Professor at Faculty of Political Science, Thammasat University"
_7fILAQAAAAJ,John Chocce,Thammasat University
SkUKkNUcfwAC,Sayambhu Saita,"Faculty of Public Health, Thammasat University"
LhsrvBN9-nAC,"Jinpitcha Mamom (Mamom, J),RN,APN,MNS,Ph.D","Associate Professor of Faculty of Nursing,Thammasat University"
n-F4VHUAAAAJ,Sirisilp Kongsilp,"Lecturer, Thammasat University"
lxGhO6UAAAAJ,Bipul Neupane,Sirindhorn International Institute of Technology
As7myZIAAAAJ,Tiraphap Fakthong,"Lecturer in Economics, Thammasat University"
q9z33g4AAAAJ,ChomChuen Somprasert.Ph.D.,"Assistant Professor,Faculty of Nursing ,Thammasat University"
ASISt-UAAAAJ,Neil Bowen,"Lecturer, Thammasat University"
Ii3pam0AAAAJ,Aua-aree Boonperm,"Department of Mathematics and Statistics, Faculty of Science and Technology, Thammasat …"
eC_Fj1MAAAAJ,Dr.Pongsagon Vichitvejpaisal,"Faculty of Science and Technology, Thammasat University"
qTFHbHcAAAAJ,Jurairat Boonruab,Thammasat University
K59DsAYAAAAJ,Lalin Kovudhikulrungsri,Thammasat University
yTuDX_AAAAAJ,Methawut Peerapornvitoon,Thammasat Business School
Ah17OAUAAAAJ,Pyae Pyae Phyo,"Sirindhorn International Institute of Technology, Thammasat University"
UYBOrx8AAAAJ,Nattagorn Choochouy,"Faculty of Public Health, Thammasat University"
uYC0ev0AAAAJ,Dr.Jittipat Poonkham,"Assistant Professor in International Relations, Thammasat University"
bEJVMRkAAAAJ,Niti Rattanaprichavej,"Lecturer at Thammasat Business School, Thammasat University"
j1EEDVAAAAAJ,Rujira Chaysiri,"Sirindhorn International Institute of Technology, Thammasat University"
WACc7p8AAAAJ,Norapon Sukuntee,Thammasat University
IcyU_o8AAAAJ,Pachara Pacharavanich,Thammasat University
CqXuJJEAAAAJ,Yanisa Chaiya,Thammasat University
Inr0vGsAAAAJ,Deepshikha Bhargava,Ph.D fellow at Thammasat University
0zYPUFYAAAAJ,Istvan Rado,"Lecturer, Thammasat University"
GpXErcoAAAAJ,Mijanur Rahman,"Research Faculty, Sirindhorn International Institute of Technology, Thammasat University …"
F1KNLPoAAAAJ,Natee Sirisit,"Lecturer, Faculty of Science and Technology, Thammasat University"
j_-vVloAAAAJ,Wannipat Buated,"Lecturer of Physical Therapy, Thammasat University, Thailand"
GPHC1nYAAAAJ,Anuchit Toomaneejinda,Thammasat University
sqL68ngAAAAJ,Saung Hnin Pwint Oo,"Sirindhorn International Institute of Technology, Thammasat University"
O24K-w4AAAAJ,Preechaya Mongkolhutthi,Thammasat University
Y57MuVQAAAAJ,Munin Pongsapan,"Dean and Associate Professor, Faculty of Law, Thammasat University"
AQJjKigAAAAJ,Surat Teerakapibal,"Thammasat Business School, Thammasat University"
ks55vhEAAAAJ,Joshua D. Bernstein,Thammasat University
iSFagm4AAAAJ,Wilasinee Pananakhonsab,Thammasat University
DCooF0wAAAAJ,Dipendra KC,Thammasat University
WPuwUZMAAAAJ,Peraset Chompuming,Thammasat Business School
9mytLJIAAAAJ,Sarunwit Promsaka Na Sakonnakron,"University instructor, Thammasat University"
dq3WmHQAAAAJ,Nantapath Trakultraipruk,"Lecturer of Mathematics, Thammasat University"
p9PelikAAAAJ,Winyu Ardrugsa (วิญญู อาจรักษา),"Lecturer, Faculty of Architecture and Planning, Thammasat University"
ipJcMJcAAAAJ,Napong Tao Rugkhapan,"School of Global Studies, Thammasat University"
A2k2QQkAAAAJ,Wanissa Suanin,Thammsat University
iMRlM8sAAAAJ,Thanyaporn Soontornthum,Thammasat University
HybQ8ngAAAAJ,Harald Kraus,"Lecturer, Thammasat University, Thailand"
vR6Vn6kAAAAJ,Winai Nadee,Thammasat Business School
zET-XbsAAAAJ,Tin Tin Khaing,"School of ICT, Sirindhorn International Institute of Technology, Thammasat University"
G047LH0AAAAJ,Anutchanat Jaroenjitrkam,Thammasat Business School
d2mMM0AAAAAJ,Romrawin Chumpu,Sirindhorn International Institute of Technology
dcVpvJIAAAAJ,Kornkamon Tantiwanit,"Assistant Professor, Thammasat University"
Ax9NZsUAAAAJ,Thanaruk T.,"Sirindhorn International Institute of Technology, Thammasat University"
TYPnwPUAAAAJ,Naris Charoenporn,"Faculty of Engineering, Thammasat University, Thailand"
2UnQJJoAAAAJ,Suwadee Jiajaroen,Thammasat University
CWvrgp8AAAAJ,Somkiat Kosolsombat,Thammasat University
rMOfJy0AAAAJ,Fa Likitswat,"Assistant Professor of Landscape Architecture, Thammasat University"
Pujc2AoAAAAJ,Sukrit Vinayavekhin (Bank),"Lecturer of Innovation and Operations Management, Thammasat Business School"
Dlt8lIMAAAAJ,Panjasit Chokesamritpol,"PhD Candidate, Thammasat University"
85EifHMAAAAJ,Vimolchaya Yanasugondha,"Assistant Professor, Language Institute, Thammasat University"
CgtsqesAAAAJ,Jirapa Tangsritrakul,"Faculty of Science and Technology, Thammasat University"
JHcgfJAAAAAJ,Lapinee Kosonboon,Thammasat Business School
Nbx28GwAAAAJ,Alisara Rungnontarat CHARINSARN,Thammasat Business School
tVti2RUAAAAJ,Asan Suwannarit,"Faculty of Architecture and Planning, Thammasat University"
gsZZQLcAAAAJ,Supa Vittaporn,Thammasat University
qVvRRnYAAAAJ,Sustarum Thammaboosadee,Associate Professor Thammasat University
r7Sq8sEAAAAJ,Raisha Shrestha,Thammasat University
EolBIDUAAAAJ,surachai tumtavitikul,"Thammasat Business School, Thammasat University"
Ap9OHc8AAAAJ,Pattaramas Jantasin,"Lecturer, Language Institute, Thammasat University"
ZfaOXTIAAAAJ,Akanksha Bhurtel,"Sirindhorn International Institute of Technology, Thammasat University"
9h513rsAAAAJ,Chamath DY Yahampath Arachchige Don,"PhD student, Sirindhorn International Institute of Technology, Thammasat University"
rDT8OsUAAAAJ,Frederic Carral,Thammasat University
pxcBG9EAAAAJ,Chorney Eang,"Doctor of Advanced Materials Science, Sirindhorn International Institute of Technology"
oZ6CJ6YAAAAJ,Frederic Carral,"Thammasat University, Bangkok"
DXcnFl0AAAAJ,Chanchai Tangruenrat,"Lecturer of Accounting, Thammasat Business School"
2uezSbcAAAAJ,Pit Jongwattanakul,"Faculty of Economics, Thammasat University"
cW56GYoAAAAJ,Sitthiphon Kruarattikan,"Associate Professor, Thammasat University"
lHMNqlUAAAAJ,Ekapon Thienthaworn,Thammasat University
UC06tasAAAAJ,Alim Bubu Swarga,"Postgraduate Student, Thammasat University"
gp62eGMAAAAJ,Prakirati Satasut,"Faculty of Sociology and Anthropology, Thammasat University"
PFgTJB4AAAAJ,Roongtip Duangkaew,Thammasat University
ZFd-YFUAAAAJ,Sairag Sa-adprai,Thammasat University
LRgON_8AAAAJ,Thanatchaphan Petcharat,"College of Interdisciplinary Studies, Thammasat University"
hNfScgYAAAAJ,Pham Le Phuong Tu,"Doctor of Advanced Materials Science, Sirindhorn International Institute of Technology"
E05cI2EAAAAJ,Anuwan Thongmooh,Thammasat University
M8J4XTsAAAAJ,Krit Pattamaroj,"Department of Operations Management, Thammasat Business School"
ikwIuPQAAAAJ,Nontawan Yomchinda,Thammasat Business School
rkXitr0AAAAJ,Supoj Chawawiwat,"Professor of logistics and maritime transport, Thammasat University"
hJmsXnEAAAAJ,APINANT Phongmethakul,"Instructor, Faculty of Architecture and Planning, Thammasat University, Thailand."
7HQzgrUAAAAJ,Chol Bunnag,"Faculty of Economics, Thammasat University"
VjdiUagAAAAJ,Wonghatai Tunshevavong,"Assoc. Prof. of Faculty of Journalism and Mass Communication, Thammasat University"
OGVgO6UAAAAJ,Patipat Sathaporn,"Thammasat Secondary School, Faculty of Learning sciences and Education, Thammasat …"
TLFWD2cAAAAJ,Benjamas Tulyanitikul,Thammasat University
Lnz5GzUAAAAJ,Sompoke Kingkaew,"Lecturer in Environmental Health, Thammasat University"
14OweVIAAAAJ,Chandra Restu Pakarti,Master Student at Sirindhorn International Institute of Technology Thammasat University
aD2BTokAAAAJ,Su Su Nwal,"PhD candidate, Thammasat University"
n0x3Lh0AAAAJ,Poompak Kusawat,"PhD Candidate, Thammasat University"
MAkv2BEAAAAJ,Parichart Pattarapanitchai,"PhD Candidate, Thammasat University"
AyhSxrsAAAAJ,Dr. Aung Naing Oo,"School of Global Studies, Thammasat University"
xiC0frUAAAAJ,sivarin lertpusit,Thammasat University
m-GKlyUAAAAJ,Shekhar Mahat,Thammasat University
me74QsoAAAAJ,Vithearin CHORN,"Sirindhorn International Institute of Technology, Thammasat University"
-jZ4QcIAAAAJ,Kraithep Sirisanwannakul,Sirindhorn International Institute of Technology
NLshr9gAAAAJ,Ines Ayu Handayani,"Master's Student, SIIT, Thammasat University"
oALsv34AAAAJ,Kritsasith Warin,"Lecturer, Faculty of Dentistry, Thammasat University"
kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
7XmRxVUAAAAJ,Punnavich Khowrurk,"Department of Computer Science,Thammasat University ·"
vvP6YwkAAAAJ,Adipon Euajarusphan,"Lecturer , Thammasat University"
